original_overlay_path,archived_overlay_path,relative_file_path,size_bytes,sha256,phase25_relationship,source_verified,archive_verified
market_intelligence_v5_0_overlay,repository_root/market_intelligence_v5_0_overlay,scripts/run_historical_intelligence_stress.py,21364,f11f50d5a8debb6b03e068b7dea4216345f9afc8446704b66a8b6fd227fe412b,DIFFERENT,yes,yes
market_intelligence_v5_0_overlay,repository_root/market_intelligence_v5_0_overlay,scripts/run_multi_period_intelligence_research.py,7248,bf39445bce26d6c550e337ea843ee34fc80cc0bf61f756d34c82fd3893fb83ce,IDENTICAL,yes,yes
market_intelligence_v5_0_overlay,repository_root/market_intelligence_v5_0_overlay,scripts/score_ml_research_gates.py,7076,b67a99f53cad8332a0d243b57fb724ac67de210522fbdab962b3ee50d66855b2,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_10_overlay,stock_backtester_root/market_intelligence_v2_10_overlay,docs/historical_news_ml_training_plan.md,3117,123ce015dccba3b4179bb4416ddd163a606b93f5187a37df6ec230b9fc8c57c4,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_10_overlay,stock_backtester_root/market_intelligence_v2_10_overlay,docs/market_intelligence_experiment_summary_2026_06_23.md,3955,6821e876bc33bf89c3ee624bf6e89de067eb096642914bbbf02d8908ab4d86f3,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_2_overlay,stock_backtester_root/market_intelligence_v2_2_overlay,docs/market_intelligence_v2_2.md,1319,c35833d22ed40e967d650c5f68bc8e4f24a78c05015434e35b767f781eaa2a85,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_2_overlay,stock_backtester_root/market_intelligence_v2_2_overlay,scripts/build_allocator_intelligence_signals_v2.py,2633,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_2_overlay,stock_backtester_root/market_intelligence_v2_2_overlay,scripts/diagnose_allocator_intelligence.py,2051,4261f40d8eabb435433a0817d2c10f2dd063c28f17a19364677e19c03d6b3f10,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_2_overlay,stock_backtester_root/market_intelligence_v2_2_overlay,src/backtester/intelligence/allocator_adjustment.py,5714,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_2_overlay,stock_backtester_root/market_intelligence_v2_2_overlay,src/backtester/intelligence/allocator_diagnostics.py,6468,b79bb2bc9f3149d706b298261f2162a1c1a3812acd5c54044176c56bb8dd0287,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,docs/market_intelligence_v2_3.md,1448,3071ebef34d7390c2177275d4848d2713dfc848b78b0f9c7fb9737762d002beb,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,scripts/build_allocator_intelligence_signals_v2.py,2633,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,scripts/diagnose_allocator_intelligence.py,2051,4261f40d8eabb435433a0817d2c10f2dd063c28f17a19364677e19c03d6b3f10,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,src/backtester/intelligence/allocator_adjustment.py,5714,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,src/backtester/intelligence/allocator_diagnostics.py,6468,b79bb2bc9f3149d706b298261f2162a1c1a3812acd5c54044176c56bb8dd0287,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_3_overlay,stock_backtester_root/market_intelligence_v2_3_overlay,src/backtester/intelligence/opportunity_scorer.py,9136,86d7a34156d945738cb14d641d4823adc4e4175487f29eb4258aad72c28acd37,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_4_overlay,stock_backtester_root/market_intelligence_v2_4_overlay,docs/market_intelligence_v2_4.md,866,e3709c2f6bf5b83a0208e1fabc9e27c6b2ea4fe68dda0de729913f35937f5043,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_4_overlay,stock_backtester_root/market_intelligence_v2_4_overlay,scripts/compare_allocator_intelligence.py,2077,7ff338a5852c7198fdee627e4428bc07cecaf754c7b37b926f01f925efda4e03,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_4_overlay,stock_backtester_root/market_intelligence_v2_4_overlay,scripts/diagnose_allocator_intelligence.py,2160,2320410bf52be4bafbbcdf505e37f2aa96990a6ea59d080925cf370f6c37941a,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_4_overlay,stock_backtester_root/market_intelligence_v2_4_overlay,src/backtester/intelligence/allocator_diagnostics.py,10625,b8de85b205c6ed96a176fd0614e26d913d48c4fda6080e3f305b7765d3ead40e,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_5_overlay,stock_backtester_root/market_intelligence_v2_5_overlay,docs/market_intelligence_v2_5.md,1118,76839355a4b8e4beb95aeaaf2d96a2f3a649612aaaecb9bd7768e04d43b1af81,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_5_overlay,stock_backtester_root/market_intelligence_v2_5_overlay,scripts/monte_carlo_allocator_intelligence.py,2143,3613a828762a7b402d46fcb1a177eb2a89dfb7427c3f138cdbd3797a6d391f5a,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_5_overlay,stock_backtester_root/market_intelligence_v2_5_overlay,src/backtester/intelligence/allocator_monte_carlo.py,9955,aeb300cd3c4dfdce9fbc590c6bb283fbfad060685d3b8e7e39b0c72ce431070e,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,docs/market_intelligence_v2_6_1.md,765,90d8331b9766a7f17d2db68c920f0bc75869e981cf3edc97f1d968225acad0e5,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,requirements-intelligence-nlp.txt,52,8b05777d86cb981b73e23138abdf6be5599453a1be38cac13c6e147f1c55783a,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,scripts/check_intelligence_nlp.py,1333,6d970a6384df4c0312a77d73d47300157e803479037818426864e478a686c14d,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,scripts/extract_contextual_events.py,3923,e5b85d9854657d33658ba97609a4889231b36f5b4962f6375c16df8f371a3697,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,scripts/run_nlp_event_smoke.py,2258,9d9aa0f6879e88838e0b80a2345943316e5c534c17227798738b890a579b6428,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,src/backtester/intelligence/contextual_event_extractor.py,13740,52231110e1ed2e4ca5bee32d512cce2621cab20626d73d49515be1b71d7f8f87,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,src/backtester/intelligence/nlp_runtime.py,2941,f053f14782abf8bbf4250045a1ae2a50e3bf002e0bf0ae235b9dd81c8f57bdf6,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_1_overlay,stock_backtester_root/market_intelligence_v2_6_1_overlay,src/backtester/intelligence/semantic_event_clusterer.py,4658,a9158681d9683c3e0a716794472d8f1a095de95b4d1b38e73ed750adcb7ed43e,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,docs/market_intelligence_v2_6_2.md,726,37b9dc082c673ca814792f2fb17eb71faf9f3173d47ec6581464f0ff91fbaf58,CANONICAL_MISSING,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,scripts/check_intelligence_nlp.py,1333,6d970a6384df4c0312a77d73d47300157e803479037818426864e478a686c14d,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,scripts/extract_contextual_events.py,3923,e5b85d9854657d33658ba97609a4889231b36f5b4962f6375c16df8f371a3697,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,scripts/run_nlp_event_smoke.py,2258,9d9aa0f6879e88838e0b80a2345943316e5c534c17227798738b890a579b6428,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,src/backtester/intelligence/contextual_event_extractor.py,15743,731777f115809f26a96bd7c1818f6a7a711a71e5fd4911cef8afb77de72b2352,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,src/backtester/intelligence/event_feature_builder.py,7118,df827f72535bcaaabc6b629de5690645cd8c15915338760df0270b55746040b5,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,src/backtester/intelligence/nlp_runtime.py,2941,f053f14782abf8bbf4250045a1ae2a50e3bf002e0bf0ae235b9dd81c8f57bdf6,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,src/backtester/intelligence/opportunity_scorer.py,9288,e0363f7a64ede686870415f8789c6d3a86f15a81ea37d44b970de596b62e0159,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_2_overlay,stock_backtester_root/market_intelligence_v2_6_2_overlay,src/backtester/intelligence/semantic_event_clusterer.py,4658,a9158681d9683c3e0a716794472d8f1a095de95b4d1b38e73ed750adcb7ed43e,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,docs/market_intelligence_v2_6.md,1586,2e9f9c46d75456f6049934932860d5746f0eab2410daa20449ebdced3c3fec00,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,requirements-intelligence-nlp.txt,52,8b05777d86cb981b73e23138abdf6be5599453a1be38cac13c6e147f1c55783a,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,scripts/check_intelligence_nlp.py,1333,6d970a6384df4c0312a77d73d47300157e803479037818426864e478a686c14d,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,scripts/extract_contextual_events.py,3567,8aa274430b344ab8270a844cf476ab310a044a9a2ed8da918c82198b427b1e99,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,scripts/run_nlp_event_smoke.py,1874,c86937d2e3783c20a9ea32b369e0154b446f7d45ee4641f80b33794652464f8f,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,src/backtester/intelligence/contextual_event_extractor.py,13740,52231110e1ed2e4ca5bee32d512cce2621cab20626d73d49515be1b71d7f8f87,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,src/backtester/intelligence/nlp_runtime.py,2736,dd3b1ef54cff38f6e7fe414b18a37409056fabca65a515374d1bfcccea0c2bf9,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_6_overlay,stock_backtester_root/market_intelligence_v2_6_overlay,src/backtester/intelligence/semantic_event_clusterer.py,3905,708a174f31405f8d4f50739d6b65695b3cab24ff3356d15423132f6917b6d4bb,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,docs/market_intelligence_v2_7_1.md,805,98808e590c9f1a9466578060206bdcf75013a60fee2575b93c0a57c85c4608d8,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,scripts/extract_contextual_events.py,4864,bdb71282bc0fd0179cfffe81aa382609971040e975046af4de9fb3b22e196fcf,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,scripts/run_nlp_event_smoke.py,3184,6ce519a69347f6e7e7b0bc7d813faabb4269f3b6361f5a985f71ee11f283cd89,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,src/backtester/intelligence/contextual_event_extractor.py,18433,1af9817d78448eaa154cbac2e32eed53d78e4dc1ecee8e918968c199a89f7f58,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,src/backtester/intelligence/event_schemas.py,1377,0a51672074a0e4a629c130d3f446832c37383201f7ad4aef522fb2446a3b8825,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_1_overlay,stock_backtester_root/market_intelligence_v2_7_1_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,docs/market_intelligence_v2_7_2.md,1094,48eb83835c4ec1566c0781577eca08f9f34b6963d35fb73962826b8c6a46fa0f,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,scripts/extract_contextual_events.py,4864,bdb71282bc0fd0179cfffe81aa382609971040e975046af4de9fb3b22e196fcf,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,scripts/run_nlp_event_smoke.py,3380,735f74709c5c2d657e79025107773c73b1bc1cf2d70f102c287ca7a2f0e59297,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,src/backtester/intelligence/contextual_event_extractor.py,20833,8c763cbcdaa018151ffb207867447588bc3f710721d4b2cd29795b8cc43578b2,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,src/backtester/intelligence/event_schemas.py,1423,4ba7447d2e26edab1a0e619d86652bcf859d843a3473371a62ce9b8740535698,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_2_overlay,stock_backtester_root/market_intelligence_v2_7_2_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,docs/market_intelligence_v2_7_3.md,935,ef571e4e8406623c4eb219ee1aca04a6ab73e8800d6484e773bdf2dd427fd715,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,scripts/extract_contextual_events.py,4864,bdb71282bc0fd0179cfffe81aa382609971040e975046af4de9fb3b22e196fcf,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,scripts/run_nlp_event_smoke.py,3685,1726e54bbe0625c8f1ac5836aabcdff38e3bd38ec56f85d11211263daea0e4d3,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,src/backtester/intelligence/contextual_event_extractor.py,22976,c3b7f1b6ddee4e7ce2ba7e6fa374982c516bce9d079bf60c2c14bc4d8a2ef64c,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,src/backtester/intelligence/event_schemas.py,1470,63e8c76f267ab67805e3eeeb8d6ab489946c114b2a2c01de2c629e4d688a8308,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_3_overlay,stock_backtester_root/market_intelligence_v2_7_3_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,docs/market_intelligence_v2_7_4.md,810,bd15c57ef16b7b809f51e2c3266b5b040f1eaca6a61da2a57e69438c5217f7e5,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,scripts/extract_contextual_events.py,5713,be7277b760f9d0ce04c405957d482c93a0a9c84922bac053611b022ba1c3d5f8,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,scripts/run_nlp_event_smoke.py,4539,310cc44b18596d4f81f3c153965f199a21967d3a2bd72ef52d98c367405006e0,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,src/backtester/intelligence/contextual_event_extractor.py,23264,38838e867fc9fc52619ab17f3cc18d69f367fd9a6aaa455b6d8c403c3bbb695a,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,src/backtester/intelligence/event_schemas.py,1470,63e8c76f267ab67805e3eeeb8d6ab489946c114b2a2c01de2c629e4d688a8308,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_4_overlay,stock_backtester_root/market_intelligence_v2_7_4_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,docs/market_intelligence_v2_7_5.md,942,ecf6fe49bd4daed59ff960bcc63274756a36d07974369eba3432efed7c525afc,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,scripts/extract_contextual_events.py,5713,be7277b760f9d0ce04c405957d482c93a0a9c84922bac053611b022ba1c3d5f8,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,scripts/run_nlp_event_smoke.py,4539,310cc44b18596d4f81f3c153965f199a21967d3a2bd72ef52d98c367405006e0,DIFFERENT,yes,yes
